OrderNo,SalesOrderLineKey,OrderQuantity,ItemCost,ItemPrice,OrderDate,DeliveryDueDate,OrderToDelivery,CustomerName,CustomerCity,CustomerState,CustomerCountry,ProductCategory,ProductSubcategory,Product,ProductColor,Model,Order Line Price
SO44046,44046001,1,2171.29,3578.27,30/07/2017,07/08/2017,8,Tamara Nath,Beaverton,Oregon,United States,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44047,44047001,1,1912.15,3399.99,30/07/2017,06/08/2017,7,Brianna Simmons,Los Angeles,California,United States,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",Silver,Mountain-100,3399.99
SO44048,44048001,1,2171.29,3578.27,30/07/2017,05/08/2017,6,Tony Nara,East Brisbane,Queensland,Australia,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO44049,44049001,1,2171.29,3578.27,30/07/2017,03/08/2017,4,Vanessa Henderson,Kassel,Hessen,Germany,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO44050,44050001,1,2171.29,3578.27,30/07/2017,09/08/2017,10,Cristina Xie,South Melbourne,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44051,44051001,1,2171.29,3578.27,31/07/2017,03/08/2017,3,Ariana Bailey,Billericay,England,United Kingdom,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44052,44052001,1,2171.29,3578.27,31/07/2017,09/08/2017,9,Evan King,Port Macquarie,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO44053,44053001,1,413.15,699.1,31/07/2017,02/08/2017,2,Nancy Srini,Hamburg,Hessen,Germany,Bikes,Road Bikes,"Road-650 Black, 44",Black,Road-650,699.1
SO44054,44054001,1,2171.29,3578.27,31/07/2017,09/08/2017,9,Sharon Kumar,Frankfurt,Hessen,Germany,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO44055,44055001,1,2171.29,3578.27,31/07/2017,10/08/2017,10,Phillip Rana,Leipzig,Nordrhein-Westfalen,Germany,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44056,44056001,1,2171.29,3578.27,31/07/2017,09/08/2017,9,Lori Ramos,Berlin,Hessen,Germany,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO44057,44057001,1,413.15,699.1,31/07/2017,03/08/2017,3,Natalie Rogers,Corvallis,Oregon,United States,Bikes,Road Bikes,"Road-650 Black, 44",Black,Road-650,699.1
SO44058,44058001,1,1898.09,3374.99,31/07/2017,08/08/2017,8,Michele Nath,Newcastle,New South Wales,Australia,Bikes,Mountain Bikes,"Mountain-100 Black, 44",Black,Mountain-100,3374.99
SO44059,44059001,1,2171.29,3578.27,31/07/2017,03/08/2017,3,Tabitha Gomez,Findon,South Australia,Australia,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44060,44060001,1,413.15,699.1,31/07/2017,04/08/2017,4,Karl Rai,St. Leonards,New South Wales,Australia,Bikes,Road Bikes,"Road-650 Black, 52",Black,Road-650,699.1
SO44061,44061001,1,2171.29,3578.27,01/08/2017,06/08/2017,5,Ryan Lal,Issaquah,Washington,United States,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44062,44062001,1,2171.29,3578.27,01/08/2017,04/08/2017,3,Rebecca Wright,Olympia,Washington,United States,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44063,44063001,1,1912.15,3399.99,01/08/2017,07/08/2017,6,Anne Hernandez,Watford,England,United Kingdom,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",Silver,Mountain-100,3399.99
SO44064,44064001,1,2171.29,3578.27,01/08/2017,07/08/2017,6,Richard Bailey,Burnaby,British Columbia,Canada,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44065,44065001,1,2171.29,3578.27,01/08/2017,09/08/2017,8,Xavier Roberts,Santa Monica,California,United States,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44066,44066001,1,1912.15,3399.99,01/08/2017,08/08/2017,7,Carlos Carter,Woodland Hills,California,United States,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",Silver,Mountain-100,3399.99
SO44067,44067001,1,2171.29,3578.27,01/08/2017,06/08/2017,5,Krystal Lu,Goulburn,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44068,44068001,1,2171.29,3578.27,02/08/2017,04/08/2017,2,Ashlee Xu,Hannover,Nordrhein-Westfalen,Germany,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44069,44069001,1,1898.09,3374.99,02/08/2017,06/08/2017,4,Shannon Dominguez,Orly,Val de Marne,France,Bikes,Mountain Bikes,"Mountain-100 Black, 42",Black,Mountain-100,3374.99
SO44070,44070001,1,1898.09,3374.99,02/08/2017,09/08/2017,7,Lucas Mitchell,Royal Oak,British Columbia,Canada,Bikes,Mountain Bikes,"Mountain-100 Black, 42",Black,Mountain-100,3374.99
SO44071,44071001,1,2171.29,3578.27,02/08/2017,06/08/2017,4,Paula Romero,Perth,South Australia,Australia,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44072,44072001,1,2171.29,3578.27,02/08/2017,09/08/2017,7,Ronnie Zhang,Rhodes,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44073,44073001,1,1898.09,3374.99,02/08/2017,06/08/2017,4,Adam Flores,Hervey Bay,Queensland,Australia,Bikes,Mountain Bikes,"Mountain-100 Black, 48",Black,Mountain-100,3374.99
SO44134,44134001,1,2171.29,3578.27,03/08/2017,10/08/2017,7,Allen Lopez,Woolston,England,United Kingdom,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44135,44135001,1,2171.29,3578.27,03/08/2017,11/08/2017,8,Gabrielle Hall,Santa Cruz,California,United States,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44136,44136001,1,2171.29,3578.27,03/08/2017,06/08/2017,3,Lucas Martin,Cliffside,British Columbia,Canada,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44137,44137001,1,2171.29,3578.27,03/08/2017,07/08/2017,4,Michelle Cox,Warrnambool,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO44138,44138001,1,2171.29,3578.27,04/08/2017,09/08/2017,5,Jaime Shen,London,England,United Kingdom,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44139,44139001,1,2171.29,3578.27,04/08/2017,06/08/2017,2,Charles Taylor,York,England,United Kingdom,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44140,44140001,1,2171.29,3578.27,04/08/2017,11/08/2017,7,Brandi Ruiz,Saint Germain en Laye,Yveline,France,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44141,44141001,1,2171.29,3578.27,04/08/2017,12/08/2017,8,Shaun Deng,Stuttgart,Saarland,Germany,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44142,44142001,1,2171.29,3578.27,04/08/2017,10/08/2017,6,Jake Zukowski,Cliffside,British Columbia,Canada,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44143,44143001,1,2171.29,3578.27,04/08/2017,07/08/2017,3,Brandon Jones,Burbank,California,United States,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44144,44144001,1,2171.29,3578.27,04/08/2017,12/08/2017,8,Tammy Raji,North Sydney,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44145,44145001,1,2171.29,3578.27,04/08/2017,10/08/2017,6,Amy Ma,South Melbourne,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44146,44146001,1,2171.29,3578.27,04/08/2017,13/08/2017,9,Alejandro Wang,Seaford,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44147,44147001,1,2171.29,3578.27,04/08/2017,13/08/2017,9,Alan Zhu,Darlinghurst,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44148,44148001,1,2171.29,3578.27,05/08/2017,12/08/2017,7,Charles Moore,Burbank,California,United States,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44149,44149001,1,2171.29,3578.27,05/08/2017,07/08/2017,2,Dale Chande,Townsville,Queensland,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44150,44150001,1,2171.29,3578.27,05/08/2017,09/08/2017,4,Carolyn Munoz,Springwood,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44151,44151001,1,413.15,699.1,05/08/2017,15/08/2017,10,Zachary Wilson,Goulburn,New South Wales,Australia,Bikes,Road Bikes,"Road-650 Red, 48",Red,Road-650,699.1
SO44152,44152001,1,1912.15,3399.99,06/08/2017,13/08/2017,7,Nicole Brown,Stoke-on-Trent,England,United Kingdom,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",Silver,Mountain-100,3399.99
SO44153,44153001,1,2171.29,3578.27,06/08/2017,15/08/2017,9,Jacqueline Ward,Long Beach,California,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44154,44154001,1,2171.29,3578.27,06/08/2017,13/08/2017,7,Katherine Rodriguez,Lebanon,Oregon,United States,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44155,44155001,1,2171.29,3578.27,06/08/2017,09/08/2017,3,Todd Zhu,Burbank,California,United States,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44156,44156001,1,1912.15,3399.99,06/08/2017,14/08/2017,8,Jack Collins,Puyallup,Washington,United States,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",Silver,Mountain-100,3399.99
SO44157,44157001,1,2171.29,3578.27,06/08/2017,12/08/2017,6,Willie She,Darlinghurst,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO44158,44158001,1,2171.29,3578.27,07/08/2017,14/08/2017,7,Anne Rubio,Stuttgart,Saarland,Germany,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44159,44159001,1,2171.29,3578.27,07/08/2017,12/08/2017,5,Fernando Turner,Woodland Hills,California,United States,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44160,44160001,1,2171.29,3578.27,07/08/2017,15/08/2017,8,Jenny Wagner,Beaverton,Oregon,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44161,44161001,1,2171.29,3578.27,08/08/2017,15/08/2017,7,Michele Perez,Peterborough,England,United Kingdom,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO44162,44162001,1,2171.29,3578.27,08/08/2017,13/08/2017,5,Eric Alexander,Burbank,California,United States,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44163,44163001,1,2171.29,3578.27,08/08/2017,18/08/2017,10,Taylor Davis,Lemon Grove,California,United States,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO44164,44164001,1,2171.29,3578.27,08/08/2017,18/08/2017,10,Marshall Lal,Bellflower,California,United States,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44165,44165001,1,2171.29,3578.27,08/08/2017,12/08/2017,4,Cedric Chen,Gold Coast,Queensland,Australia,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44166,44166001,1,413.15,699.1,08/08/2017,18/08/2017,10,Kevin Adams,Portland,Oregon,United States,Bikes,Road Bikes,"Road-650 Black, 44",Black,Road-650,699.1
SO44167,44167001,1,2171.29,3578.27,08/08/2017,12/08/2017,4,Deborah Kumar,Cranbourne,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO44168,44168001,1,2171.29,3578.27,09/08/2017,15/08/2017,6,Victor Romero,Roissy en Brie,Seine et Marne,France,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44169,44169001,1,2171.29,3578.27,09/08/2017,12/08/2017,3,Billy Alvarez,Beaverton,Oregon,United States,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44170,44170001,1,2171.29,3578.27,09/08/2017,16/08/2017,7,Nicole Howard,Burbank,California,United States,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO44171,44171001,1,2171.29,3578.27,09/08/2017,18/08/2017,9,Savannah Evans,Downey,California,United States,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44172,44172001,1,413.15,699.1,09/08/2017,15/08/2017,6,Gabrielle Mitchell,West Covina,California,United States,Bikes,Road Bikes,"Road-650 Black, 44",Black,Road-650,699.1
SO44173,44173001,1,2171.29,3578.27,10/08/2017,14/08/2017,4,Spencer Griffin,Warrington,England,United Kingdom,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44174,44174001,1,2171.29,3578.27,10/08/2017,15/08/2017,5,Maria Watson,Townsville,Queensland,Australia,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44175,44175001,1,2171.29,3578.27,10/08/2017,18/08/2017,8,Micah Wu,Coffs Harbour,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44176,44176001,1,2171.29,3578.27,11/08/2017,18/08/2017,7,Virginia Sara,Paris La Defense,Hauts de Seine,France,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO44177,44177001,1,1898.09,3374.99,11/08/2017,20/08/2017,9,Jerome Romero,Watford,England,United Kingdom,Bikes,Mountain Bikes,"Mountain-100 Black, 44",Black,Mountain-100,3374.99
SO44178,44178001,1,2171.29,3578.27,11/08/2017,19/08/2017,8,Jennifer Barnes,Chula Vista,California,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44179,44179001,1,1898.09,3374.99,11/08/2017,13/08/2017,2,Morgan Edwards,Tacoma,Washington,United States,Bikes,Mountain Bikes,"Mountain-100 Black, 44",Black,Mountain-100,3374.99
SO44180,44180001,1,1912.15,3399.99,11/08/2017,13/08/2017,2,Marc Diaz,Findon,South Australia,Australia,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",Silver,Mountain-100,3399.99
SO44181,44181001,1,2171.29,3578.27,11/08/2017,18/08/2017,7,Ruth Arun,Gold Coast,Queensland,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44182,44182001,1,2171.29,3578.27,11/08/2017,19/08/2017,8,Jaclyn Ferrier,Geelong,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44183,44183001,1,2171.29,3578.27,12/08/2017,17/08/2017,5,Clarence Luo,Berkeley,California,United States,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44184,44184001,1,2171.29,3578.27,12/08/2017,16/08/2017,4,Michael Moore,Sydney,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO44185,44185001,1,2171.29,3578.27,12/08/2017,18/08/2017,6,Deanna Mehta,Rhodes,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44186,44186001,1,1912.15,3399.99,13/08/2017,15/08/2017,2,Reginald Munoz,Burbank,California,United States,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",Silver,Mountain-100,3399.99
SO44187,44187001,1,2171.29,3578.27,13/08/2017,20/08/2017,7,Christy Zheng,Port Macquarie,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44188,44188001,1,413.15,699.1,14/08/2017,23/08/2017,9,Theodore Ruiz,Bracknell,England,United Kingdom,Bikes,Road Bikes,"Road-650 Black, 60",Black,Road-650,699.1
SO44189,44189001,1,413.15,699.1,14/08/2017,24/08/2017,10,Clarence Nara,London,England,United Kingdom,Bikes,Road Bikes,"Road-650 Red, 60",Red,Road-650,699.1
SO44190,44190001,1,1898.09,3374.99,14/08/2017,22/08/2017,8,Todd Gao,Gold Coast,Queensland,Australia,Bikes,Mountain Bikes,"Mountain-100 Black, 38",Black,Mountain-100,3374.99
SO44191,44191001,1,2171.29,3578.27,14/08/2017,23/08/2017,9,Alicia Beck,Perth,South Australia,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44192,44192001,1,2171.29,3578.27,15/08/2017,21/08/2017,6,Benjamin Jackson,Ingolstadt,Bayern,Germany,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44193,44193001,1,2171.29,3578.27,15/08/2017,19/08/2017,4,Gabrielle Coleman,Lakewood,California,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44194,44194001,1,2171.29,3578.27,15/08/2017,18/08/2017,3,Stephanie Gray,Port Macquarie,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44195,44195001,1,2171.29,3578.27,15/08/2017,24/08/2017,9,Carl Goel,St. Leonards,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44196,44196001,1,2171.29,3578.27,15/08/2017,24/08/2017,9,Victor Sanz,St. Leonards,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO44197,44197001,1,2171.29,3578.27,16/08/2017,24/08/2017,8,Alexandra Stewart,Berkeley,California,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44198,44198001,1,2171.29,3578.27,16/08/2017,23/08/2017,7,Connor Chen,Lincoln Acres,California,United States,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44199,44199001,1,2171.29,3578.27,16/08/2017,19/08/2017,3,Trisha Wang,Wollongong,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44200,44200001,1,2171.29,3578.27,16/08/2017,18/08/2017,2,Mayra Kovar,Rockhampton,Queensland,Australia,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44201,44201001,1,2171.29,3578.27,17/08/2017,24/08/2017,7,Calvin Deng,Pantin,Seine Saint Denis,France,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44202,44202001,1,2171.29,3578.27,17/08/2017,22/08/2017,5,Tamara Yang,Berkeley,California,United States,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44203,44203001,1,2171.29,3578.27,17/08/2017,20/08/2017,3,William Miller,Lakewood,California,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44204,44204001,1,413.15,699.1,17/08/2017,22/08/2017,5,Kyle Diaz,Novato,California,United States,Bikes,Road Bikes,"Road-650 Black, 62",Black,Road-650,699.1
SO44205,44205001,1,2171.29,3578.27,17/08/2017,26/08/2017,9,Clayton Deng,Newcastle,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44206,44206001,1,1912.15,3399.99,18/08/2017,22/08/2017,4,Shannon Liu,Woolston,England,United Kingdom,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",Silver,Mountain-100,3399.99
SO44207,44207001,1,2171.29,3578.27,18/08/2017,28/08/2017,10,Bruce Ward,Grossmont,California,United States,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44208,44208001,1,1912.15,3399.99,18/08/2017,20/08/2017,2,Alyssa Wood,Mill Valley,California,United States,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",Silver,Mountain-100,3399.99
SO44209,44209001,1,2171.29,3578.27,18/08/2017,25/08/2017,7,Darren Rana,Melton,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44210,44210001,1,2171.29,3578.27,19/08/2017,23/08/2017,4,Logan Wright,Peterborough,England,United Kingdom,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44211,44211001,1,2171.29,3578.27,19/08/2017,24/08/2017,5,Katherine Patterson,Long Beach,California,United States,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44212,44212001,1,2171.29,3578.27,19/08/2017,28/08/2017,9,Isabella Johnson,Glendale,California,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44213,44213001,1,2171.29,3578.27,19/08/2017,28/08/2017,9,Terrence Sharma,Geelong,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44214,44214001,1,2171.29,3578.27,19/08/2017,23/08/2017,4,Jonathan Green,Goulburn,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44215,44215001,1,2171.29,3578.27,20/08/2017,29/08/2017,9,Jerry Chander,Bellingham,Washington,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44216,44216001,1,2171.29,3578.27,20/08/2017,22/08/2017,2,Andres Shan,Frankfurt am Main,Saarland,Germany,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO44217,44217001,1,2171.29,3578.27,20/08/2017,26/08/2017,6,Jon Zhao,Bremerton,Washington,United States,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44218,44218001,1,2171.29,3578.27,20/08/2017,26/08/2017,6,Jonathan Mitchell,Vancouver,British Columbia,Canada,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44219,44219001,1,413.15,699.1,20/08/2017,27/08/2017,7,Marissa Butler,Concord,California,United States,Bikes,Road Bikes,"Road-650 Black, 44",Black,Road-650,699.1
SO44220,44220001,1,1912.15,3399.99,20/08/2017,30/08/2017,10,Jon Zhou,Warrnambool,Victoria,Australia,Bikes,Mountain Bikes,"Mountain-100 Silver, 42",Silver,Mountain-100,3399.99
SO44221,44221001,1,2171.29,3578.27,20/08/2017,22/08/2017,2,Carly Nath,Lavender Bay,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO44222,44222001,1,2171.29,3578.27,20/08/2017,22/08/2017,2,Fernando Green,Melbourne,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44223,44223001,1,2171.29,3578.27,21/08/2017,24/08/2017,3,Kurt Tang,Oxford,England,United Kingdom,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44224,44224001,1,2171.29,3578.27,21/08/2017,28/08/2017,7,Cassidy Coleman,Coronado,California,United States,Bikes,Road Bikes,"Road-150 Red, 56",Red,Road-150,3578.27
SO44225,44225001,1,413.15,699.1,22/08/2017,31/08/2017,9,Kayla Jackson,Runcorn,England,United Kingdom,Bikes,Road Bikes,"Road-650 Red, 60",Red,Road-650,699.1
SO44226,44226001,1,2171.29,3578.27,22/08/2017,28/08/2017,6,Robyn Alvarez,Colomiers,Garonne (Haute),France,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44227,44227001,1,1898.09,3374.99,22/08/2017,26/08/2017,4,Maria Alexander,Dunkerque,Nord,France,Bikes,Mountain Bikes,"Mountain-100 Black, 42",Black,Mountain-100,3374.99
SO44228,44228001,1,1912.15,3399.99,22/08/2017,28/08/2017,6,Emily Miller,Newcastle upon Tyne,England,United Kingdom,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",Silver,Mountain-100,3399.99
SO44229,44229001,1,1912.15,3399.99,22/08/2017,26/08/2017,4,Rachel Rogers,Marysville,Washington,United States,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",Silver,Mountain-100,3399.99
SO44230,44230001,1,2171.29,3578.27,22/08/2017,01/09/2017,10,Omar Chander,Rockhampton,Queensland,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44231,44231001,1,413.15,699.1,22/08/2017,29/08/2017,7,Johnathan Rodriguez,Paris,Seine (Paris),France,Bikes,Road Bikes,"Road-650 Black, 60",Black,Road-650,699.1
SO44232,44232001,1,2171.29,3578.27,22/08/2017,28/08/2017,6,Luis Lopez,Geelong,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44233,44233001,1,2171.29,3578.27,23/08/2017,26/08/2017,3,Clayton Kumar,York,England,United Kingdom,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44234,44234001,1,2171.29,3578.27,23/08/2017,01/09/2017,9,Madison Russell,Newport Beach,California,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44235,44235001,1,2171.29,3578.27,23/08/2017,30/08/2017,7,Sydney Perez,Vancouver,British Columbia,Canada,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44236,44236001,1,2171.29,3578.27,23/08/2017,26/08/2017,3,Mya Long,Burien,Washington,United States,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44237,44237001,1,2171.29,3578.27,23/08/2017,31/08/2017,8,Shaun Lal,Lavender Bay,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
SO44238,44238001,1,2171.29,3578.27,23/08/2017,30/08/2017,7,Tracy Rai,Sunbury,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44239,44239001,1,2171.29,3578.27,24/08/2017,27/08/2017,3,Kyle Roberts,Versailles,Yveline,France,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44240,44240001,1,2171.29,3578.27,24/08/2017,03/09/2017,10,Carol Xu,Offenbach,Saarland,Germany,Bikes,Road Bikes,"Road-150 Red, 44",Red,Road-150,3578.27
SO44241,44241001,1,2171.29,3578.27,24/08/2017,28/08/2017,4,Taylor Watson,Newport Beach,California,United States,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44242,44242001,1,2171.29,3578.27,24/08/2017,28/08/2017,4,Rachel Washington,Woodburn,Oregon,United States,Bikes,Road Bikes,"Road-150 Red, 52",Red,Road-150,3578.27
SO44243,44243001,1,2171.29,3578.27,24/08/2017,27/08/2017,3,Isabella Price,Port Macquarie,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44244,44244001,1,2171.29,3578.27,24/08/2017,30/08/2017,6,Jasmine Wilson,Coffs Harbour,New South Wales,Australia,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44245,44245001,1,413.15,699.1,24/08/2017,02/09/2017,9,Joan Martin,Caloundra,Queensland,Australia,Bikes,Road Bikes,"Road-650 Red, 52",Red,Road-650,699.1
SO44246,44246001,1,2171.29,3578.27,25/08/2017,31/08/2017,6,Kurt Nara,Roncq,Nord,France,Bikes,Road Bikes,"Road-150 Red, 48",Red,Road-150,3578.27
SO44247,44247001,1,2171.29,3578.27,25/08/2017,02/09/2017,8,Michele Raman,Bendigo,Victoria,Australia,Bikes,Road Bikes,"Road-150 Red, 62",Red,Road-150,3578.27
